fairness	게임의 공정성
how_roulette_1	<p>"Roulette with track"은 레이스 트랙 모양의 베팅 필드가 추가된 유럽식 싱글 제로 게임 버전입니다.</p><p> 룰렛 필에는 0에서부터 36까지의 번호가 있습니다. 필에는 하나의 제로(0)가 있습니다.</p><p>최소와 최대 베팅은 테이블 위와 게임 플레이 도중에 표시됩니다.</p><p>당첨금은 배당표에 따라 지급됩니다. 배당표는 "당첨금" 버튼을 클릭하면 확인할 수 있습니다.</p><p>게임 통계를 확인하려면 •번호' 버튼을 클릭하세요. "Hot" 넘버는 가장 많이 당첨된 다섯 개의 숫자를 내림차순으로 표시합니다. "Cold" 넘버는 가장 적게 당첨된 다섯 개의 숫자를 표시합니다. "Hot" 넘버와 "Cold" 넘버 밑에 표시된 회색 숫자는 일정 횟수의 라운드에서 당첨된 횟수를 표시합니다.</p>
betting_process	베팅 절차
how_roulette_2	<p>베팅할 수 있는 곳은 가리켰을 때 나타납니다.</p><p>베팅은 선택한 지역에 칩을 놓으면 완료됩니다.</p><p>베팅 지역을 선택하려면 원하는 집을 고른 후, 집을 놓을 지역을 선택하면 됩니다.</p><p>모든 집의 종류를 보려면 표시된 화살표를 클릭하세요.</p><p>모든 베팅을 취소하려면 "취소" 버튼을 클릭하세요.</p><p>베팅 금액이 테이볼 베팅 한도를 넘어서면 자동으로 베팅 금액이 순차적으로 낮게 조절됩니다.</p><p>구슬을 굴리려면 "스핀" 버튼을 클릭하세요.</p><p>구슬이 당첨 번호에 들어가면, 베팅에 따라 당첨금이 지급됩니다.</p>
roulette_bets	룰렛 트랙 위의 베팅
how_roulette_3	Roulette with track은 outside 베팅, inside 베팅, call 베팅 지원합니다. 모든 베팅은 배당률이 다롭니다. "당첨금" 화면에서 각 베팅의 배당률을 확인하세요.
outside_bets	OUTSIDE 베팅
how_roulette_4	<p>Outside 베팅는 한 번에 12 또는 18개의 번호에 베팅합니다.</p><p>Outside 베팅에 베팅하려면 테이블의 선택된 지역에 칩을 놓으세요.</p><p>1에서 18까지/19에서 36까지 (같은 확률)</p><p>이 베팅은 넘버들을 두 개의 큰 그룹으로 나누어 하는 베팅입니다. 첫째 그름은 1에서 18까지를 포함하고, 둘째 그룹은 19에서 36까지를 포함합니다.</p><p>Even/Odd (Even Chances)</p><p>룰렛 규칙에 따라 이 베팅은 짝수와 홀수로 나눠진 그룹에 베팅하는 것입니다. 배당률은 1:1입니다.</p><p>레드/블랙 (Even Chances)</p><p>이 베팅은 번호의 색깔에 따라 베팅하는 것입니다. 배당률은 1:1입니다.</p><p>Column</p><p>이 베팅에는 세 개의 지역이 있습니다. 각각은 12 포켓을 포함하도록 되어있습니다. Column 베팅는 테이블 하단의 "2 to 1"이라고 표시된 3개의 Column 중 하나에 베팅합니다. 배당률은 2:1입니다.</p><p>Dozen</p><p>Dozen 베팅는 "1st 12", "2nd 12", "3rd 12" 이라고 표시된 세 그룹 중 하나에 베팅하는 것입니다. 배당률은 2:1입니다.</p>
inside_bets	INSIDE 베팅
how_roulette_5	<p>Straight 베팅</p><p>Straight 베팅은 테이블에서 하나의 넘버에 베팅하는 것 입니다. 배당틀은 35:1입니다.</p><p>Split 베팅</p><p>Split 베팅은 두 개의 인접한 번호에 베팅하는 것입니다. 배당률은 17:1입니다.</p><p>Street 베팅</p><p>Street 베팅팅은 세 개의 인접한 번호에 베팅하는 것입니다. 배당률은 11:1입니다.</p><p>Corner</p><p>Corner 베팅은 네 개의 인접 번호에 베팅하는 것입니다. 배당률은 8:1입니다.</p><p>Six-line</p><p>Six-line 베팅은 여섯 개의 인접 번호에 베팅하는 것입니다. 배당률은 5:1입니다.</p>
call_bets	CALL 베팅
how_roulette_6	Call 베팅는 룰렛 필에 있는 넘버들의 순서에 따라 베팅하는 것입니다.
how_roulette_7	<p>Zero Spiel 베팅</p><p>Zero Spiel 베팅은 15, 32, 0, 26, 3, 35, 12에 베팅하는 것입니다. 베팅에는 4개의 칩이 사용됩니다.</p><p>한 개의 집은 35:1의 배당률인 26 블랙에, 나머지 3개의 집들은 0과 3, 35와 32, 12와 15에 각각 베팅합니다. 배당률은 17:1입니다.</p><p>Series 0/2/3</p><p>이 베팅에는 다음 번호들이 포함됩니다: 15, 32, 0, 26, 3, 35, 12, 25, 2, 21, 4, 19, 28, 7, 29, 18, 22.</p><p>베팅에는 9개의 집이 사용됩니다. 집들은 다음과 같이 분배됩니다:</p><p>0, 2, 3에 2개의 칩이 사용되고, 배당률은 11:1입니다.</p><p>4와 7, 12와 15, 18과 21, 19와 22, 32와 35에 각각 하나의 칩，총 5개의 칩이 사용됩니다. 배당률은 17:1입니다.</p><p>25, 26, 28, 29에 2개의 집이 사용됩니다. 배당률은 8:1입니다.</p><p>Orphelins</p><p>Orphelins 베팅은 6, 34, 17, 9, 31, 14, 20, 1에 베팅합니다. 5개의 칩이 이 베팅에 사용됩니다. 한 개의 칩은 35:1의 배당률로 1에 사용되고, 나머지 4개의 집은 각각 6과 9, 14와 17, 17과 20, 31과 34에 사용됩니다.</p><p>배당률은 17:1입니다. 만약 당첨 넘버가 17 블랙이라면, 배당률은 35:1이 됩니다.</p><p>Series 5/8</p><p>Series 5/8 베팅은 다음 번호들에 베팅합니다: 33, 16, 24, 5, 10, 23, 8, 30, 11, 36, 13, 27. 베팅에는 6개의 칩이 사용됩니다. 이 집들은 다음 숫자쌍과 같이 베팅됩니다: 5와 8, 10과 11, 13과 16, 23과 24, 27과 30, 33과 36. 배당률은 17:1입니다.</p><p>Neighbours</p><p>베팅은 하나의 넘버와 네 개의 인접한 번호에 다섯 개의 집이 사용됩니다. 배당률은 35:1입니다. 예를 들어 27에 베팅하고 당첨됐다면 인접 번호인 34, 6, 13, 36도 당첨된 것으로 간주하는 것입니다.</p>
